Item,Binomial,WordA,WordB,Questions,Answer,SentenceType,TargetSentence,PrimeType,Prime,FilenamePrime,Condition,List
14,error and trial,error,trial,Was Hal still stuck on the math problem?,n,nonalphabetical,+ Hal solved the math problem by trial and error because he was lazy.,nonalphabetical,Sometimes it feels like error and trial is the only way to learn.,../audio/prime_nonalpha/Sometimes_it_feels_like_error_and_trial_is_the_only_way_to_learn.wav,4,5
22,gentlemen and ladies,gentlemen,ladies,Did the hostess refuse to help the customers?,n,alphabetical,+ The hostess in the venue lead the ladies and gentlemen to their respective tables.,alphabetical,The event was attended by both gentlemen and ladies dressed in elegant attire.,../audio/prime_alpha/The_event_was_attended_by_both_gentlemen_and_ladies_dressed_in_elegant_attire.wav,2,5
4,black and white,black,white,Do Dalmations usually come in many different colors?,n,alphabetical,+ Dalmatians found in colors other than white and black are highly unusual.,alphabetical,"The film is shot entirely in black and white, giving it a timeless quality.","../audio/prime_alpha/The_film_is_shot_entirely_in_black_and_white,_giving_it_a_timeless_quality.wav",2,5
29,men and women,men,women,Were the people in Jen's dance class talented?,y,alphabetical,+ Jen thought that the men and women in her dance class were all very talented.,alphabetical,The disparity between the wages of men and women in the workforce is a major concern for many.,../audio/prime_alpha/The_disparity_between_the_wages_of_men_and_women_in_the_workforce_is_a_major_concern_for_many.wav,1,5
5,blood and flesh,blood,flesh,Did Nick consider Rhonda to be family?,y,alphabetical,+ Although Rhonda was not Nick's blood and flesh he considered her family.,alphabetical,"The battle left marks of blood and flesh on the ground, a grim reminder of its toll.","../audio/prime_alpha/The_battle_left_marks_of_blood_and_flesh_on_the_ground,_a_grim_reminder_of_its_toll.wav",1,5
12,development and research,development,research,Did Emily stay in her field?,n,unrelated,+ Emily was in research and development but eventually decided to leave.,unrelated,His suitcase was packed with essentials and a few souvenirs from his last adventure.,../audio/prime_unrelated/His_suitcase_was_packed_with_essentials_and_a_few_souvenirs_from_his_last_adventure.wav,6,5
15,fall and rise,fall,rise,Was the narrator sick because of the waves?,y,nonalphabetical,+ I've gotten particularly ill due to the fall and rise of the waves.,nonalphabetical,The documentary charts the rise and fall of a once-beloved artist.,../audio/prime_nonalpha/The_documentary_charts_the_rise_and_fall_of_a_once-beloved_artist.wav,3,5
28,men and officers,men,officers,Did Nicole know the number of people who died during the civil war?,n,alphabetical,+ Nicole didn't know the number of officers and men who died during the civil war.,alphabetical,The army camp was bustling with men and officers preparing for the day's drills.,../audio/prime_alpha/The_army_camp_was_bustling_with_men_and_officers_preparing_for_the_day's_drills.wav,2,5
3,arts and sciences,arts,sciences,Did Jessica plan on going to college?,y,nonalphabetical,+ Jessica couldn't decide between studying arts and sciences in college.,nonalphabetical,A well-rounded education often includes a balance of sciences and arts.,../audio/prime_nonalpha/A_well-rounded_education_often_includes_a_balance_of_sciences_and_arts.wav,3,5
19,female and male,female,male,Does the dog breeder have puppies coming?,y,unrelated,+ The dog breeder has female and male puppies coming.,unrelated,"She wrote down her goals in a new journal, determined to make this year different.","../audio/prime_unrelated/She_wrote_down_her_goals_in_a_new_journal,_determined_to_make_this_year_different.wav",5,5
16,father and son,father,son,Does Eric hate movies?,n,alphabetical,+ Eric enjoys going to the movies with his son and father so much.,alphabetical,The bond between father and son grew deeper with each passing year.,../audio/prime_alpha/The_bond_between_father_and_son_grew_deeper_with_each_passing_year.wav,2,5
18,feet and hands,feet,hands,Were the child's limbs fine?,n,unrelated,+ The child's hands and feet were numb.,unrelated,The crisp autumn air was filled with the scent of pine and fallen leaves.,../audio/prime_unrelated/The_crisp_autumn_air_was_filled_with_the_scent_of_pine_and_fallen_leaves.wav,6,5
20,fruits and vegetables,fruits,vegetables,Did Paul eat unhealthily growing up?,n,nonalphabetical,"+ Growing up, Paul ate his vegetables and fruits everyday.",nonalphabetical,A healthy diet includes a balance of vegetables and fruits for essential nutrients.,../audio/prime_nonalpha/A_healthy_diet_includes_a_balance_of_vegetables_and_fruits_for_essential_nutrients.wav,4,5
24,goods and services,goods,services,Were the village people willing to trade?,n,unrelated,+ The village people would not trade services and goods for money.,unrelated,"They toasted to friendship, clinking their glasses in celebration.","../audio/prime_unrelated/They_toasted_to_friendship,_clinking_their_glasses_in_celebration.wav",6,5
27,man and woman,man,woman,Were the sneakers that were worn green?,y,nonalphabetical,+ He noticed that both the man and woman had green sneakers on.,nonalphabetical,"Both woman and man stood side by side, equal partners in their journey.","../audio/prime_nonalpha/Both_woman_and_man_stood_side_by_side,_equal_partners_in_their_journey.wav",3,5
11,death and life,death,life,Is it hard to tell one's circumstances in purgatory?,y,alphabetical,+ It is hard to tell the difference between death and life when you are in purgatory.,alphabetical,"In many cultures, death and life are seen as intertwined parts of a greater cycle.","../audio/prime_alpha/In_many_cultures,_death_and_life_are_seen_as_intertwined_parts_of_a_greater_cycle.wav",1,5
7,brother and sister,brother,sister,Are Paul's siblings cool?,y,unrelated,+ Paul wants to spend time with his brother and sister because they're cool.,unrelated,"The cat curled up on the windowsill, basking in a patch of warm sunlight.","../audio/prime_unrelated/The_cat_curled_up_on_the_windowsill,_basking_in_a_patch_of_warm_sunlight.wav",5,5
6,boys and girls,boys,girls,Did the teacher separate the students into many groups?,n,unrelated,+ The teacher separated the girls and boys into two groups.,unrelated,"The mountain trail was steep, but the view from the top made every step worth it.","../audio/prime_unrelated/The_mountain_trail_was_steep,_but_the_view_from_the_top_made_every_step_worth_it.wav",6,5
31,mr. and mrs.,mr.,mrs.,Is it the case that the couple aren't married?,y,unrelated,+ The couple call each other mr. and mrs. Smith even though they aren't married.,unrelated,"They watched the fireworks explode in the night sky, their faces lit up with excitement.","../audio/prime_unrelated/They_watched_the_fireworks_explode_in_the_night_sky,_their_faces_lit_up_with_excitement.wav",5,5
13,diagnosis and treatment,diagnosis,treatment,Was Marissa sick?,y,unrelated,+ Marissa found that her diagnosis and treatment at the hospital were different.,unrelated,"The old clock in the hallway struck midnight, its chimes filling the quiet house.","../audio/prime_unrelated/The_old_clock_in_the_hallway_struck_midnight,_its_chimes_filling_the_quiet_house.wav",5,5
30,money and time,money,time,Was it an easy project?,n,unrelated,+ The amount of time and money required to fix it made it quite the project.,unrelated,"She wrapped the scarf around her neck, bracing herself against the winter chill.","../audio/prime_unrelated/She_wrapped_the_scarf_around_her_neck,_bracing_herself_against_the_winter_chill.wav",6,5
23,god and man,god,man,Did the friends discuss relationships?,y,alphabetical,+ The friends had a discussion about the relationship between god and man after school.,alphabetical,The epic story explores the relationship between god and man in a mythical world.,../audio/prime_alpha/The_epic_story_explores_the_relationship_between_god_and_man_in_a_mythical_world.wav,1,5
9,cause and effect,cause,effect,Did Ryan research about inflation?,y,nonalphabetical,"+ Ryan was uncertain about the cause and effect of inflation, so he did some research.",nonalphabetical,The gathering was filled with laughter from sisters and brothers catching up after a long time apart.,../audio/prime_nonalpha/The_gathering_was_filled_with_laughter_from_sisters_and_brothers_catching_up_after_a_long_time_apart.wav,3,5
32,north and south,north,south,Did the family stay in the same place?,n,nonalphabetical,+ The family moved south and north a couple of times.,nonalphabetical,The campaign has supporters from both south and north regions.,../audio/prime_nonalpha/The_campaign_has_supporters_from_both_south_and_north_regions.wav,4,5
100,NA,NA,NA,Were the mountains covered in Mist?,y,filler,"The mountains loomed in the distance, covered in mist and mystery.",filler,"She walked along the shore, collecting seashells in her hands.","../audio/prime_filler/She_walked_along_the_shore,_collecting_seashells_in_her_hands.wav",NA,0
101,NA,NA,NA,Did she wander the aisles with her friends?,n,filler,She spent hours wandering the aisles of the bookstore alone.,filler,The sound of distant thunder warned of a coming storm.,../audio/prime_filler/The_sound_of_distant_thunder_warned_of_a_coming_storm.wav,NA,0
102,NA,NA,NA,Did he feel like someone was watching him?,y,filler,He couldn't shake the feeling that someone was watching him.,filler,He kept his grandmother's letters in a box under his bed.,../audio/prime_filler/He_kept_his_grandmother's_letters_in_a_box_under_his_bed.wav,NA,0
103,NA,NA,NA,Was there heavy rain?,n,filler,"A soft drizzle began to fall, dampening the crowded streets.",filler,"The forest was dense and mysterious, filled with ancient trees.","../audio/prime_filler/The_forest_was_dense_and_mysterious,_filled_with_ancient_trees.wav",NA,0
104,NA,NA,NA,Did she pick wildflowers?,y,filler,She picked wildflowers and placed them gently in her hair.,filler,She carefully folded the letter and placed it in an envelope.,../audio/prime_filler/She_carefully_folded_the_letter_and_placed_it_in_an_envelope.wav,NA,0
105,NA,NA,NA,Did the leaves swirl across a busy road?,n,filler,"The leaves swirled in the breeze, dancing across the empty road.",filler,"The bookstore was quiet, filled with the scent of old paper.","../audio/prime_filler/The_bookstore_was_quiet,_filled_with_the_scent_of_old_paper.wav",NA,0
106,NA,NA,NA,Was there chaos around him?,y,filler,He felt a strange sense of calm despite the chaos around him.,filler,He wrote his ideas on scraps of paper scattered on the desk.,../audio/prime_filler/He_wrote_his_ideas_on_scraps_of_paper_scattered_on_the_desk.wav,NA,0
107,NA,NA,NA,Were the books clean?,n,filler,The old library was filled with dust-covered books and secrets.,filler,She watched as the sun dipped below the distant horizon.,../audio/prime_filler/She_watched_as_the_sun_dipped_below_the_distant_horizon.wav,NA,0
108,NA,NA,NA,Was there laughter coming from the next room?,y,filler,She could hear faint laughter coming from the next room.,filler,The rain pattered softly on the roof as they sat in silence.,../audio/prime_filler/The_rain_pattered_softly_on_the_roof_as_they_sat_in_silence.wav,NA,0
109,NA,NA,NA,Did he toss a pebble into the ocean?,n,filler,"He tossed a pebble into the lake, watching the ripples spread.",filler,He felt a chill run down his spine as he entered the room.,../audio/prime_filler/He_felt_a_chill_run_down_his_spine_as_he_entered_the_room.wav,NA,0
110,NA,NA,NA,Was there sand between her toes?,y,filler,She felt the sand between her toes as she walked along the shore.,filler,The fresh scent of pine filled the air as she hiked uphill.,../audio/prime_filler/The_fresh_scent_of_pine_filled_the_air_as_she_hiked_uphill.wav,NA,0
111,NA,NA,NA,Was the room noisy?,n,filler,The room was silent except for the ticking of an old clock.,filler,She loved the feel of the ocean breeze against her face.,../audio/prime_filler/She_loved_the_feel_of_the_ocean_breeze_against_her_face.wav,NA,0
112,NA,NA,NA,Was his jacket faded?,y,filler,He wore a faded blue jacket that had seen better days.,filler,"A gentle breeze rustled the leaves, filling the silence.","../audio/prime_filler/A_gentle_breeze_rustled_the_leaves,_filling_the_silence.wav",NA,0
113,NA,NA,NA,Was the letter on her table?,n,filler,She found an old letter hidden inside the back of a drawer.,filler,"He sipped his coffee slowly, watching people pass by.","../audio/prime_filler/He_sipped_his_coffee_slowly,_watching_people_pass_by.wav",NA,0
114,NA,NA,NA,Was there coffee in the cafe?,y,filler,The cafe smelled of freshly baked bread and roasted coffee.,filler,"The beach was empty, save for a few scattered seashells.","../audio/prime_filler/The_beach_was_empty,_save_for_a_few_scattered_seashells.wav",NA,0
115,NA,NA,NA,Was the map new?,n,filler,He traced his fingers along the edges of the ancient map.,filler,She painted flowers in vibrant colors across the canvas.,../audio/prime_filler/She_painted_flowers_in_vibrant_colors_across_the_canvas.wav,NA,0
116,NA,NA,NA,Did listen to the birds singing?,y,filler,"She paused, listening to the faint sounds of birds singing.",filler,"The city lights sparkled, reflecting off the wet streets.","../audio/prime_filler/The_city_lights_sparkled,_reflecting_off_the_wet_streets.wav",NA,0
117,NA,NA,NA,Did the sky turn shades of purple?,n,filler,The sky turned shades of pink and orange as the sun set.,filler,"He admired the stars, feeling a deep sense of wonder.","../audio/prime_filler/He_admired_the_stars,_feeling_a_deep_sense_of_wonder.wav",NA,0
118,NA,NA,NA,Did he watch old films?,y,filler,He spent his evening watching old black-and-white films.,filler,She wore a necklace with a delicate silver pendant.,../audio/prime_filler/She_wore_a_necklace_with_a_delicate_silver_pendant.wav,NA,0
119,NA,NA,NA,Was the sidewalk well-lit?,n,filler,"The streetlights flickered, casting shadows on the sidewalk.",filler,"The children ran across the field, laughing and shouting.","../audio/prime_filler/The_children_ran_across_the_field,_laughing_and_shouting.wav",NA,0
120,NA,NA,NA,Did she whisper secrets to the stars?,y,filler,"She whispered secrets to the stars, her voice barely audible.",filler,"The lake was like glass, perfectly reflecting the sky.","../audio/prime_filler/The_lake_was_like_glass,_perfectly_reflecting_the_sky.wav",NA,0
121,NA,NA,NA,Was he stressed out?,n,filler,He found comfort in the familiar hum of the city at night.,filler,She made a wish on the first star she saw that night.,../audio/prime_filler/She_made_a_wish_on_the_first_star_she_saw_that_night.wav,NA,0
122,NA,NA,NA,Did the waves crash against the rocks?,y,filler,The waves crashed against the rocks with a steady rhythm.,filler,He traced his fingers along the ancient stone carvings.,../audio/prime_filler/He_traced_his_fingers_along_the_ancient_stone_carvings.wav,NA,0
123,NA,NA,NA,Was the sand dry?,n,filler,She left footprints in the wet sand that soon disappeared.,filler,The soft glow of the candle illuminated her face.,../audio/prime_filler/The_soft_glow_of_the_candle_illuminated_her_face.wav,NA,0
124,NA,NA,NA,Did the scent of pine trees fill the air?,y,filler,The scent of pine trees filled the air in the quiet forest.,filler,"She watched the river flow gently, lost in thought.","../audio/prime_filler/She_watched_the_river_flow_gently,_lost_in_thought.wav",NA,0
125,NA,NA,NA,Did he know what he wanted to paint?,n,filler,"He stared at the blank canvas, unsure of what to paint.",filler,The old piano played a haunting melody in the empty hall.,../audio/prime_filler/The_old_piano_played_a_haunting_melody_in_the_empty_hall.wav,NA,0
126,NA,NA,NA,Did she keep a journal?,y,filler,She kept a journal filled with her thoughts and dreams.,filler,"He sat on the rooftop, admiring the city lights below.","../audio/prime_filler/He_sat_on_the_rooftop,_admiring_the_city_lights_below.wav",NA,0
127,NA,NA,NA,Did the lights flicker?,n,filler,"The candlelight flickered, casting shadows on the walls.",filler,The bookstore was filled with stacks of dusty old novels.,../audio/prime_filler/The_bookstore_was_filled_with_stacks_of_dusty_old_novels.wav,NA,0
128,NA,NA,NA,Did he find an old photo album?,y,filler,He found an old photo album filled with forgotten memories.,filler,"She found a small, faded photo tucked inside a book.","../audio/prime_filler/She_found_a_small,_faded_photo_tucked_inside_a_book.wav",NA,0
129,NA,NA,NA,Was it sunny outside?,n,filler,She watched the raindrops slide down the windowpane.,filler,The garden was alive with the buzzing of bees and birds.,../audio/prime_filler/The_garden_was_alive_with_the_buzzing_of_bees_and_birds.wav,NA,0
130,NA,NA,NA,Were there many different-colored flowers in the garden?,y,filler,The garden was filled with flowers of every color imaginable.,filler,"He walked down the quiet street, hands in his pockets.","../audio/prime_filler/He_walked_down_the_quiet_street,_hands_in_his_pockets.wav",NA,0
131,NA,NA,NA,Did he expect the gust of wind?,n,filler,He felt a sudden gust of wind as he stepped outside.,filler,She braided her hair while listening to the birds singing.,../audio/prime_filler/She_braided_her_hair_while_listening_to_the_birds_singing.wav,NA,0
132,NA,NA,NA,Was the evening getting colder?,y,filler,She wrapped her scarf tighter as the evening grew colder.,filler,The waves crashed rhythmically against the rocky shore.,../audio/prime_filler/The_waves_crashed_rhythmically_against_the_rocky_shore.wav,NA,0
133,NA,NA,NA,Were they still there?,n,filler,The echo of laughter lingered long after they had left.,filler,A faint scent of lavender filled the cozy little room.,../audio/prime_filler/A_faint_scent_of_lavender_filled_the_cozy_little_room.wav,NA,0
134,NA,NA,NA,Did he like the watch?,y,filler,He admired the intricate design on the vintage watch.,filler,The stars were unusually bright on that clear night.,../audio/prime_filler/The_stars_were_unusually_bright_on_that_clear_night.wav,NA,0
135,NA,NA,NA,Was the street loud?,n,filler,"The street was silent, save for the occasional car passing.",filler,She tucked a flower behind her ear and smiled softly.,../audio/prime_filler/She_tucked_a_flower_behind_her_ear_and_smiled_softly.wav,NA,0
136,NA,NA,NA,Did she run her fingers through the rose?,y,filler,She ran her fingers through the soft petals of a rose.,filler,"The mountain air was crisp, carrying the scent of pine.","../audio/prime_filler/The_mountain_air_was_crisp,_carrying_the_scent_of_pine.wav",NA,0
137,NA,NA,NA,Was it clear outside?,n,filler,"He watched as the fog rolled in, covering everything in white.",filler,He felt a sense of nostalgia as he entered his old room.,../audio/prime_filler/He_felt_a_sense_of_nostalgia_as_he_entered_his_old_room.wav,NA,0
138,NA,NA,NA,Was it bright in the room?,y,filler,"The fire crackled, filling the room with warmth and light.",filler,She watched as the fog rolled over the hills silently.,../audio/prime_filler/She_watched_as_the_fog_rolled_over_the_hills_silently.wav,NA,0
139,NA,NA,NA,Was the seashell strong?,n,filler,"She held the fragile seashell, admiring its unique pattern.",filler,"The campfire crackled, casting shadows on their faces.","../audio/prime_filler/The_campfire_crackled,_casting_shadows_on_their_faces.wav",NA,0
140,NA,NA,NA,Did he talk a deep breath?,y,filler,"He took a deep breath, savoring the fresh scent of rain.",filler,He whistled a cheerful tune as he walked down the path.,../audio/prime_filler/He_whistled_a_cheerful_tune_as_he_walked_down_the_path.wav,NA,0
141,NA,NA,NA,Did the new watch chime?,n,filler,"The old clock chimed, signaling the hour with a soft ring.",filler,She wore a vibrant scarf that stood out in the crowd.,../audio/prime_filler/She_wore_a_vibrant_scarf_that_stood_out_in_the_crowd.wav,NA,0
142,NA,NA,NA,Did she laugh?,y,filler,She laughed as she splashed through puddles on the street.,filler,The sound of waves crashing was soothing to her soul.,../audio/prime_filler/The_sound_of_waves_crashing_was_soothing_to_her_soul.wav,NA,0
143,NA,NA,NA,Was the sky dark?,n,filler,"The sky was painted with stars, each one twinkling brightly.",filler,"The night sky was clear, dotted with countless stars.","../audio/prime_filler/The_night_sky_was_clear,_dotted_with_countless_stars.wav",NA,0
144,NA,NA,NA,Did he admire the view?,y,filler,"He admired the view from the hilltop, feeling at peace.",filler,She found a feather and placed it gently in her book.,../audio/prime_filler/She_found_a_feather_and_placed_it_gently_in_her_book.wav,NA,0
145,NA,NA,NA,DId she trace the shapes in the dirt?,n,filler,She traced shapes in the sand with her finger absentmindedly.,filler,"The park was empty, covered in a blanket of fallen leaves.","../audio/prime_filler/The_park_was_empty,_covered_in_a_blanket_of_fallen_leaves.wav",NA,0
146,NA,NA,NA,Did the city lights glow?,y,filler,"The city lights glowed, creating a warm and cozy atmosphere.",filler,He admired the intricate patterns on the vintage clock.,../audio/prime_filler/He_admired_the_intricate_patterns_on_the_vintage_clock.wav,NA,0
147,NA,NA,NA,Did he jot down the notes on his computer?,n,filler,"He jotted down notes in his notebook, deep in thought.",filler,The old house was filled with memories of past years.,../audio/prime_filler/The_old_house_was_filled_with_memories_of_past_years.wav,NA,0
148,NA,NA,NA,Was the bakery small?,y,filler,The small bakery was filled with the scent of cinnamon rolls.,filler,She watched the fireflies dance in the warm evening air.,../audio/prime_filler/She_watched_the_fireflies_dance_in_the_warm_evening_air.wav,NA,0
149,NA,NA,NA,Did she watch the blue sky?,n,filler,She watched as leaves drifted lazily down from the trees.,filler,He spent hours searching for the perfect skipping stone.,../audio/prime_filler/He_spent_hours_searching_for_the_perfect_skipping_stone.wav,NA,0
150,NA,NA,NA,Was the sun rising?,y,filler,"The children laughed, chasing each other around the playground.",filler,The sunrise painted the sky with shades of pink and orange.,../audio/prime_filler/The_sunrise_painted_the_sky_with_shades_of_pink_and_orange.wav,NA,0
151,NA,NA,NA,Did she notice a bird?,n,filler,He watched as a flock of birds took off into the sky.,filler,She noticed a butterfly resting on a nearby flower.,../audio/prime_filler/She_noticed_a_butterfly_resting_on_a_nearby_flower.wav,NA,0
152,NA,NA,NA,Was the river calm?,y,filler,"The lake was calm, reflecting the trees and sky perfectly.",filler,"The river was calm, reflecting the trees along its bank.","../audio/prime_filler/The_river_was_calm,_reflecting_the_trees_along_its_bank.wav",NA,0
153,NA,NA,NA,Did he enjoy the noisy city?,n,filler,"She sipped her tea slowly, enjoying the warmth it brought.",filler,He enjoyed the quiet solitude of the early morning.,../audio/prime_filler/He_enjoyed_the_quiet_solitude_of_the_early_morning.wav,NA,0
154,NA,NA,NA,Did she enjoy the mountain air?,y,filler,The sound of waves crashing was soothing and rhythmic.,filler,"She took a deep breath, savoring the fresh mountain air.","../audio/prime_filler/She_took_a_deep_breath,_savoring_the_fresh_mountain_air.wav",NA,0
155,NA,NA,NA,Was the sky dark?,n,filler,"He looked up, noticing the clouds beginning to part.",filler,The clouds drifted lazily across the bright blue sky.,../audio/prime_filler/The_clouds_drifted_lazily_across_the_bright_blue_sky.wav,NA,0
156,NA,NA,NA,Did he collect smooth stones?,y,filler,"The street was busy, filled with people going about their day.",filler,He collected smooth stones along the riverbank.,../audio/prime_filler/He_collected_smooth_stones_along_the_riverbank.wav,NA,0
157,NA,NA,NA,Was the village loud?,n,filler,She found a four-leaf clover in the field and smiled.,filler,"The village was quiet, with only the sound of birds.","../audio/prime_filler/The_village_was_quiet,_with_only_the_sound_of_birds.wav",NA,0
158,NA,NA,NA,Did she close her eyes?,y,filler,"The air smelled like rain, fresh and earthy after the storm.",filler,"She closed her eyes, feeling the warmth of the sun.","../audio/prime_filler/She_closed_her_eyes,_feeling_the_warmth_of_the_sun.wav",NA,0
159,NA,NA,NA,Was the building modern?,n,filler,"He counted the stars, trying to remember their constellations.",filler,He felt the weight of history in the ancient building.,../audio/prime_filler/He_felt_the_weight_of_history_in_the_ancient_building.wav,NA,0
160,NA,NA,NA,Was the evening breeze gentle?,y,filler,She wore a bright yellow dress that caught everyone's eye.,filler,The leaves rustled softly in the gentle evening breeze.,../audio/prime_filler/The_leaves_rustled_softly_in_the_gentle_evening_breeze.wav,NA,0
161,NA,NA,NA,Was she reckless?,n,filler,"The cat stretched lazily, basking in a patch of sunlight.",filler,She carefully arranged flowers in a small glass vase.,../audio/prime_filler/She_carefully_arranged_flowers_in_a_small_glass_vase.wav,NA,0
162,NA,NA,NA,Was the room warm?,y,filler,He felt a strange sense of déjà vu as he entered the room.,filler,"The fire crackled, casting a warm glow over the room.","../audio/prime_filler/The_fire_crackled,_casting_a_warm_glow_over_the_room.wav",NA,0
163,NA,NA,NA,Was he watching the house?,n,filler,The city skyline was breathtaking against the evening sky.,filler,"He looked out at the waves, lost in his thoughts.","../audio/prime_filler/He_looked_out_at_the_waves,_lost_in_his_thoughts.wav",NA,0
164,NA,NA,NA,Did the children build sandcastles?,y,filler,She watched as raindrops formed patterns on the window.,filler,The children built sandcastles by the edge of the water.,../audio/prime_filler/The_children_built_sandcastles_by_the_edge_of_the_water.wav,NA,0
165,NA,NA,NA,Did she paint the ocean?,n,filler,"The snow blanketed the town, creating a peaceful stillness.",filler,She painted the sunset with bold strokes of orange and red.,../audio/prime_filler/She_painted_the_sunset_with_bold_strokes_of_orange_and_red.wav,NA,0
166,NA,NA,NA,Was the beach empty?,y,filler,"He opened the old book, its pages yellowed with age.",filler,The sound of laughter echoed across the empty beach.,../audio/prime_filler/The_sound_of_laughter_echoed_across_the_empty_beach.wav,NA,0
167,NA,NA,NA,Did he sit in the cold?,n,filler,The fireflies danced around them in the warm summer night.,filler,"He sat by the fire, wrapped in a thick woolen blanket.","../audio/prime_filler/He_sat_by_the_fire,_wrapped_in_a_thick_woolen_blanket.wav",NA,0
168,NA,NA,NA,Was the garden overgrown?,y,filler,She marveled at the intricate patterns on the butterfly's wings.,filler,"The garden was overgrown, filled with wildflowers and weeds.","../audio/prime_filler/The_garden_was_overgrown,_filled_with_wildflowers_and_weeds.wav",NA,0
169,NA,NA,NA,Was the ladybug in her house?,n,filler,The street musician played a hauntingly beautiful melody.,filler,She watched a ladybug crawl along the edge of a leaf.,../audio/prime_filler/She_watched_a_ladybug_crawl_along_the_edge_of_a_leaf.wav,NA,0
170,NA,NA,NA,Were clouds gathering in the sky?,y,filler,"He took a photo of the mountains, capturing their majesty.",filler,The sky darkened as clouds gathered on the horizon.,../audio/prime_filler/The_sky_darkened_as_clouds_gathered_on_the_horizon.wav,NA,0
171,NA,NA,NA,Did he admire the sunrise?,n,filler,She felt the cool breeze brush against her skin softly.,filler,He admired the sunset from the top of the hill.,../audio/prime_filler/He_admired_the_sunset_from_the_top_of_the_hill.wav,NA,0
172,NA,NA,NA,Was the room filled with light?,y,filler,The children played with a sense of freedom and joy.,filler,"The room was filled with a soft, golden afternoon light.","../audio/prime_filler/The_room_was_filled_with_a_soft,_golden_afternoon_light.wav",NA,0
173,NA,NA,NA,Did she swim through the ocean?,n,filler,He waited patiently as the storm passed overhead.,filler,"She walked through the field, admiring the wildflowers.","../audio/prime_filler/She_walked_through_the_field,_admiring_the_wildflowers.wav",NA,0
174,NA,NA,NA,Were the flowers blooming?,y,filler,The old photograph reminded her of distant memories.,filler,The air was filled with the sweet scent of blooming flowers.,../audio/prime_filler/The_air_was_filled_with_the_sweet_scent_of_blooming_flowers.wav,NA,0
175,NA,NA,NA,Did he read aloud?,n,filler,"She walked through the meadow, admiring the wildflowers.",filler,"He read quietly by the window, bathed in soft light.","../audio/prime_filler/He_read_quietly_by_the_window,_bathed_in_soft_light.wav",NA,0
