Item,Binomial (Alphabetical),Questions,Sentence Type,Sentence,Prime Type,audio,condition,list
36,bitter and purple,placeholder question,Sentence (nonalphabetical),I was unwilling to drink the juice that was purple and bitter despite my personal trainer's insistences.,Prime (unrelated),Stimuli/all_parts_combined_He_strives_to_live_up_to_his_parents__expectations_.wav,6,1
38,bitter and purple,placeholder question,Sentence (nonalphabetical),The fruit looked delicious but it turned out to be purple and bitter after I took a bite.,Prime (unrelated),Stimuli/all_parts_combined_The_events_preceding_the_accident_were_unclear_.wav,6,1
40,blankets and kittens,placeholder question,Sentence (alphabetical),Seth told me that there are blankets and kittens in that box over there.,Prime (unrelated),Stimuli/all_parts_combined_They_fixed_the_clock_before_going_to_bed_.wav,5,1
41,blankets and kittens,placeholder question,Sentence (alphabetical),There was a giant heap of blankets and kittens in the middle of the living room floor.,Prime (unrelated),Stimuli/all_parts_combined_The_thief_was_locked_up_in_jail_for_his_crimes_.wav,5,1
49,brothers and sisters,placeholder question,Sentence (alphabetical),I always love seeing my brothers and sisters when I go home for the holidays.,Prime (unrelated),Stimuli/all_parts_combined_He_lifted_up_the_box_with_great_effort_.wav,5,1
61,chauffeurs and stewardesses,placeholder question,Sentence (alphabetical),The rich actress had many chauffeurs and stewardesses to wait on her.,Prime (unrelated),Stimuli/all_parts_combined_Tears_welled_up_in_her_eyes_as_she_listened_to_the_sad_news_.wav,5,1
63,cherries and llamas,placeholder question,Sentence (nonalphabetical),"Even with all the other attractions, the llamas and cherries were my favorite parts of the farm visit.",Prime (unrelated),Stimuli/all_parts_combined_She_conjured_up_a_brilliant_idea_during_the_brainstorming_session_.wav,6,1
70,church and state,placeholder question,Sentence (nonalphabetical),Catherine was not surprised that tensions between state and church ran high during the election season.,Prime (unrelated),Stimuli/all_parts_combined_The_papers_were_stacked_on_his_desk__creating_a_mess_.wav,6,1
75,crime and punishment,placeholder question,Sentence (nonalphabetical),He wrote a paper about the different views of punishment and crime around the world.,Prime (unrelated),Stimuli/all_parts_combined_The_controversial_statement_riled_up_the_crowd__sparking_a_heated_debate_.wav,6,1
76,crime and punishment,placeholder question,Sentence (alphabetical),Peter studied the laws concerning crime and punishment in Ancient Greece and Rome.,Prime (unrelated),Stimuli/all_parts_combined_The_pillows_supported_her_back__providing_comfort_.wav,5,1
79,currant and pomegranate,placeholder question,Sentence (nonalphabetical),The chef decided to try some dishes using pomegranate and currant to add variety to the menu.,Prime (unrelated),Stimuli/all_parts_combined_They_blocked_the_entrance__preventing_anyone_from_entering_.wav,6,1
80,currant and pomegranate,placeholder question,Sentence (nonalphabetical),The drink flavored with pomegranate and currant was delicious according to Kim.,Prime (unrelated),Stimuli/all_parts_combined_Cluttering_up_the_room_with_unnecessary_items_makes_it_difficult_to_find_things_.wav,6,1
82,demand and supply,placeholder question,Sentence (alphabetical),The weaver tried to keep up with demand and supply when refugees and immigrants flooded the small town.,Prime (unrelated),Stimuli/all_parts_combined_She_curled_up_on_the_couch_with_a_good_book_.wav,5,1
83,demand and supply,placeholder question,Sentence (nonalphabetical),There is an imbalance of supply and demand for books in the digital age.,Prime (unrelated),Stimuli/all_parts_combined_During_the_bar_fight__one_man_injured_his_arm_.wav,6,1
86,determined and forgettable,placeholder question,Sentence (nonalphabetical),The student who was both forgettable and determined ended up doing very well in the class.,Prime (unrelated),Stimuli/all_parts_combined_He_cranked_up_the_volume_and_jammed_out_to_his_favorite_song_.wav,6,1
87,development and research,placeholder question,Sentence (nonalphabetical),Emily spent a few years in research and development but eventually decided to go back to academia.,Prime (unrelated),Stimuli/all_parts_combined_Their_spirits_were_lifted_for_the_upcoming_challenge_by_the_success_of_their_previous_project_.wav,6,1
91,discontent and tearfulness,placeholder question,Sentence (nonalphabetical),The athlete managed to keep training through the tearfulness and discontent of his early years.,Prime (unrelated),Stimuli/all_parts_combined_The_river_overflowed_onto_the_streets_as_debris_blocked_the_flow_.wav,6,1
92,discontent and tearfulness,placeholder question,Sentence (alphabetical),The doctor said that discontent and tearfulness are signs of depression.,Prime (unrelated),Stimuli/all_parts_combined_If_he_wants_to_survive_in_such_a_competitive_environment__he_needs_to_get_tough_.wav,5,1
93,drink and food,placeholder question,Sentence (alphabetical),"Although some drink and food were provided at the reception, there was not enough to go around.",Prime (unrelated),Stimuli/all_parts_combined_She_dished_up_a_delicious_meal_to_her_family_.wav,5,1
96,ducks and peanuts,placeholder question,Sentence (alphabetical),She couldn't believe how many ducks and peanuts were at the pond.,Prime (unrelated),Stimuli/all_parts_combined_Before_entering_the_important_meeting__he_straightens_up_his_tie_.wav,5,1
98,east and west,placeholder question,Sentence (nonalphabetical),Diane wrote a book about her travels west and east around the globe for a year.,Prime (unrelated),Stimuli/all_parts_combined_The_accusations_against_him_were_baseless_and_trumped_up_.wav,6,1
99,east and west,placeholder question,Sentence (nonalphabetical),Lena had lived in the west and east and loved both.,Prime (unrelated),Stimuli/all_parts_combined_The_sponge_absorbs_the_spilled_liquid_from_the_countertop_.wav,6,1
103,error and trial,placeholder question,Sentence (nonalphabetical),"While all can agree that trial and error is effective, there are often better ways to solve problems.",Prime (unrelated),Stimuli/all_parts_combined_He_was_known_for_quickly_matching_up_the_puzzle_pieces__easily_forming_the_complete_picture_.wav,6,1
106,fauna and flora,placeholder question,Sentence (alphabetical),She had a hobby of studying fauna and flora in her spare time.,Prime (unrelated),Stimuli/all_parts_combined_He_is_energized_and_ready_for_the_challenging_task_ahead_.wav,5,1
108,felines and quails,placeholder question,Sentence (alphabetical),The zoologist took time to document the variety of felines and quails in the area.,Prime (unrelated),Stimuli/all_parts_combined_He_climbed_the_ladder_to_reach_the_top_shelf_.wav,5,1
112,first and ninety-eighth,placeholder question,Sentence (nonalphabetical),The finalists in the tennis championship were ranked ninety-eighth and first in the world prior to the tournament.,Prime (unrelated),Stimuli/all_parts_combined_He_tacked_up_the_poster_on_the_bulletin_board_.wav,6,1
118,fork and knife,placeholder question,Sentence (alphabetical),The man was embarassed to learn that he had been holding his fork and knife wrong for years.,Prime (unrelated),Stimuli/all_parts_combined_Among_the_team_members__they_divided_up_the_responsibilities_.wav,5,1
119,gelatin and lard,placeholder question,Sentence (nonalphabetical),"As a vegetarian, lard and gelatin are difficult to avoid.",Prime (unrelated),Stimuli/all_parts_combined_Just_in_time_for_the_outdoor_event__the_weather_became_nice_.wav,6,1
120,gelatin and lard,placeholder question,Sentence (alphabetical),"My friend complained that the dessert tasted like gelatin and lard in a bowl, but ate it all anyway.",Prime (unrelated),Stimuli/all_parts_combined_She_quietly_sneaked_up_behind_him_and_surprised_him_with_a_kiss_.wav,5,1
128,happily and rudely,placeholder question,Sentence (alphabetical),His mother didn't hear when Nate happily and rudely told his sister to shut up.,Prime (unrelated),Stimuli/all_parts_combined_She_met_the_high_expectations_of_her_mentors_.wav,5,1
129,happily and rudely,placeholder question,Sentence (alphabetical),Joe hated his boss since he was always happily and rudely telling people off.,Prime (unrelated),Stimuli/all_parts_combined_We_were_cleaning_up_the_house_when_she_unexpectedly_arrived_.wav,5,1
130,happily and rudely,placeholder question,Sentence (nonalphabetical),The child rudely and happily asked the woman when she was having a baby.,Prime (unrelated),Stimuli/all_parts_combined_As_the_night_grows_darker__the_feeling_of_unease_creeps_up_on_him_.wav,6,1
131,heart and soul,placeholder question,Sentence (nonalphabetical),Excercising regularly is important for your soul and heart according to my mother.,Prime (unrelated),Stimuli/all_parts_combined_I_missed_the_important_appointment_because_I_confused_the_dates_.wav,6,1
134,hesitate and readjust,placeholder question,Sentence (alphabetical),"As Joe carried a tall stack of boxes, he had to hesitate and readjust before he could go further.",Prime (unrelated),Stimuli/all_parts_combined_He_lifted_a_heavy_box_onto_the_shelf_.wav,5,1
135,hesitate and readjust,placeholder question,Sentence (nonalphabetical),Comments from his coach caused the student to readjust and hesitate before making the throw.,Prime (unrelated),Stimuli/all_parts_combined_She_scrambled_up_the_rocky_slope_.wav,6,1
136,hesitate and readjust,placeholder question,Sentence (nonalphabetical),Katie's mom warned her to readjust and hesitate so she wouldn't fall down when she ran excitedly to the playground.,Prime (unrelated),Stimuli/all_parts_combined_They_eased_the_mood_after_the_tense_argument_.wav,6,1
139,horses and loons,placeholder question,Sentence (nonalphabetical),The painting featured a natural landscape complete with loons and horses roaming freely.,Prime (unrelated),Stimuli/all_parts_combined_It_s_time_to_pay_up_for_the_services_rendered_.wav,6,1
142,husband and wife,placeholder question,Sentence (nonalphabetical),The elderly couple decided to renew their vows as wife and husband for their fiftieth anniversary.,Prime (unrelated),Stimuli/all_parts_combined_The_shop_closes_up_for_the_night_.wav,6,1
145,intents and purposes,placeholder question,Sentence (nonalphabetical),"With some difficulty, I inferred the purposes and intents of the new committee from the vague speeches they gave.",Prime (unrelated),Stimuli/all_parts_combined_The_balloon_exploded_with_a_loud_pop_.wav,6,1
146,king and queen,placeholder question,Sentence (nonalphabetical),Everyone bowed as the queen and king entered the throne room.,Prime (unrelated),Stimuli/all_parts_combined_He_decided_to_hit_up_his_old_friend_to_see_if_he_wanted_to_hang_out_.wav,6,1
150,lankier and lanky,placeholder question,Sentence (alphabetical),"The boys in the video game club were lankier and lanky, since they were accustomed to sitting for long periods of time.",Prime (unrelated),Stimuli/all_parts_combined_They_proceeded_up_the_stairs_to_the_next_floor_.wav,5,1
151,lankier and lanky,placeholder question,Sentence (alphabetical),"The players on the team were lankier and lanky, as though it were a requirement for joining.",Prime (unrelated),Stimuli/all_parts_combined_She_typed_the_report_on_her_computer_.wav,5,1
157,loss and profit,placeholder question,Sentence (nonalphabetical),The struggling businessman didn't understand profit and loss as well as he should have.,Prime (unrelated),Stimuli/all_parts_combined_Investors_often_sell_shares_of_companies_beyond_reason_.wav,6,1
158,magazines and newspapers,placeholder question,Sentence (alphabetical),Paul primarily got his news through magazines and newspapers rather than through television.,Prime (unrelated),Stimuli/all_parts_combined_A_press_up_is_one_of_Jim_s_favorite_exercises_.wav,5,1
162,marooned and missing,placeholder question,Sentence (alphabetical),The people on the flight were marooned and missing after a crash landing on the island.,Prime (unrelated),Stimuli/all_parts_combined_She_s_typing_up_the_meeting_minutes_on_her_laptop_.wav,5,1
163,marooned and missing,placeholder question,Sentence (nonalphabetical),The pirate was missing and marooned for nearly five months.,Prime (unrelated),Stimuli/all_parts_combined_He_assessed_his_opponent_before_the_match_.wav,6,1
165,masculine and undignified,placeholder question,Sentence (nonalphabetical),She regretted going on a date with the undignified and masculine man she met at the bar.,Prime (unrelated),Stimuli/all_parts_combined_People_annoyed_her__almost_tripping_them_both_by_how_close_they_were_.wav,6,1
166,masculine and undignified,placeholder question,Sentence (alphabetical),The duchess was interested in the masculine and undignified suitor for a very long time before she met the prince.,Prime (unrelated),Stimuli/all_parts_combined_It_s_important_to_wear_your_jacket_when_going_outside_in_the_winter_.wav,5,1
167,match and mix,placeholder question,Sentence (nonalphabetical),I like to mix and match my clothing to create new outfits.,Prime (unrelated),Stimuli/all_parts_combined_The_sink_is_plugged_up_and_needs_fixing_.wav,6,1
174,nurses and patriarchs,placeholder question,Sentence (alphabetical),The building was full of nurses and patriarchs talking loudly about their plans.,Prime (unrelated),Stimuli/all_parts_combined_He_slid_down_the_slippery_slope_.wav,5,1
175,nurses and patriarchs,placeholder question,Sentence (nonalphabetical),The hotel lobby was full of patriarchs and nurses eager for the start of the conference.,Prime (unrelated),Stimuli/all_parts_combined_They_penned_up_the_horses_in_the_stable_.wav,6,1
176,pain and suffering,placeholder question,Sentence (nonalphabetical),Blake dislikes seeing all the suffering and pain in the world when he watches the news.,Prime (unrelated),Stimuli/all_parts_combined_They_re_meeting_up_at_the_cafe_for_a_chat_.wav,6,1
177,pain and suffering,placeholder question,Sentence (alphabetical),Harold was prescribed medication to ease the pain and suffering associated with his condition.,Prime (unrelated),Stimuli/all_parts_combined_He_marked_the_document_with_revisions_.wav,5,1
178,pain and suffering,placeholder question,Sentence (nonalphabetical),I hate to see the suffering and pain my mom goes through after chemo treatments.,Prime (unrelated),Stimuli/all_parts_combined_She_dragged_up_a_chair_to_sit_at_the_table_.wav,6,1
188,radio and television,placeholder question,Sentence (nonalphabetical),Seth follows both television and radio broadcasts to stay informed about current events.,Prime (unrelated),Stimuli/all_parts_combined_The_tension_started_to_mount_up_as_the_deadline_approached_.wav,6,1
189,radio and television,placeholder question,Sentence (nonalphabetical),"Susie didn't like to read, so television and radio were her favorite forms of entertainment.",Prime (unrelated),Stimuli/all_parts_combined_It_s_important_to_buy_food_for_your_pantry_before_a_storm_.wav,6,1
191,rats and sharks,placeholder question,Sentence (nonalphabetical),Billy drew almost nothing but sharks and rats day after day in elementary school art class.,Prime (unrelated),Stimuli/all_parts_combined_He_always_hangs_out_with_his_friends_after_a_long_absence_.wav,6,1
195,read and write,placeholder question,Sentence (nonalphabetical),Some children enjoy learning to write and read but others dislike it.,Prime (unrelated),Stimuli/all_parts_combined_He_wanted_to_buy_up_all_the_tickets_for_the_concert_.wav,6,1
200,safe and sound,placeholder question,Sentence (nonalphabetical),"After the storm, Haley was glad to hear that her grandparents were sound and safe in their country home.",Prime (unrelated),Stimuli/all_parts_combined_The_upperclass_students_led_the_school_s_prestigious_debate_team_to_victory_.wav,6,1
204,shares and stocks,placeholder question,Sentence (nonalphabetical),The couple decided to buy some stocks and shares as an investment for the future.,Prime (unrelated),Stimuli/all_parts_combined_I_noticed_a_charming_walkup_building_with_a_vibrant_red_door_nestled_in_the_heart_of_the_city_.wav,6,1
211,therapy and vacations,placeholder question,Sentence (alphabetical),Maria could use therapy and vacations to feel less stressed.,Prime (unrelated),Stimuli/all_parts_combined_She_upbraided_her_colleagues_for_their_unprofessional_behavior_during_the_meeting_.wav,5,1
214,vocabulary and vowels,placeholder question,Sentence (nonalphabetical),Irena had trouble with vowels and vocabulary while she was learning English.,Prime (unrelated),Stimuli/all_parts_combined_Hereafter__they_decided_to_embark_on_a_new_adventure_together_.wav,6,1
215,vocabulary and vowels,placeholder question,Sentence (nonalphabetical),The teacher explained the concepts of vowels and vocabulary after the student asked a question.,Prime (unrelated),Stimuli/all_parts_combined_The_uncoupling_of_the_train_cars_caused_a_delay_in_the_transportation_system_.wav,6,1
