Binomial (Alphabetical)	Sentence
puppies and tigers	"She wondered if tigers and puppies would get along, but had no way of testing the question."	
actresses and lumberjacks	Sheila had become accustomed to seeing actresses and lumberjacks around town.	
actresses and lumberjacks	Sheila had become accustomed to seeing lumberjacks and actresses around town.	
alive and well	Shima was finally feeling alive and well again after being sick for the past week.	
alive and well	Shima was finally feeling well and alive again after being sick for the past week.	
annoying and teal	"Since moving into the new house, the man has been plagued by an annoying and teal bird that causes a racket in the mornings."	
annoying and teal	"Since moving into the new house, the man has been plagued by an teal and annoying bird that causes a racket in the mornings."	
backwards and forwards	Soccer players practice running both backwards and forwards in order to stay nimble.	
backwards and forwards	Soccer players practice running both forwards and backwards in order to stay nimble.	
gold and silver	"Society has moved past directly using gold and silver as currency.		"	
gold and silver	"Society has moved past directly using silver and gold as currency.		"	
read and write	Some children enjoy learning to read and write but others dislike it.	
read and write	Some children enjoy learning to write and read but others dislike it.	
error and trial	Sometimes it feels like error and trial is the only way to learn.	
error and trial	Sometimes it feels like trial and error is the only way to learn.	
sour and sweet	Susan disliked the sour and sweet soup at the fancy restaurant.	
sour and sweet	Susan disliked the sweet and sour soup at the fancy restaurant.	
radio and television	"Susie didn't like to read, so radio and television were her favorite forms of entertainment.		"	
radio and television	"Susie didn't like to read, so television and radio were her favorite forms of entertainment.		"	
right and wrong	Teaching children what is right and wrong is a difficult task for parents.	
right and wrong	Teaching children what is wrong and right is a difficult task for parents.	
rats and sharks	"Teresa loved rats and sharks, and wanted to be a biologist when she grew up."	
rats and sharks	"Teresa loved sharks and rats, and wanted to be a biologist when she grew up."	
read and write	"The ability to read and write is an important factor in determining a person's success.		"	
read and write	"The ability to write and read is an important factor in determining a person's success.		"	
radio and television	"The advent of radio and television marked the beginning of the decline of newspapers.		"	
radio and television	"The advent of television and radio marked the beginning of the decline of newspapers.		"	
peace and war	The anthropologist studied the way different cultures conceived of peace and war during the Middle Ages.	
peace and war	The anthropologist studied the way different cultures conceived of war and peace during the Middle Ages.	
chanting and enchanting	The apprentice left the wizard to do his chanting and enchanting in peace.	
chanting and enchanting	The apprentice left the wizard to do his enchanting and chanting in peace.	
discontent and tearfulness	The athlete managed to keep training through the discontent and tearfulness of his early years.	
discontent and tearfulness	The athlete managed to keep training through the tearfulness and discontent of his early years.	
bitter and purple	The berries were bitter and purple when I ate them this morning.	
bitter and purple	The berries were purple and bitter when I ate them this morning.	
bicycles and robots	The boy put bicycles and robots on his Christmas list this year.	
bicycles and robots	The boy put robots and bicycles on his Christmas list this year.	
lankier and lanky	"The boys in the video game club were lankier and lanky, since they were accustomed to sitting for long periods of time."	
lankier and lanky	"The boys in the video game club were lanky and lankier, since they were accustomed to sitting for long periods of time."	
shares and stocks	The broker bought some risky shares and stocks without knowing it and only discovered it later.	
shares and stocks	The broker bought some risky stocks and shares without knowing it and only discovered it later.	
nurses and patriarchs	The building was full of nurses and patriarchs talking loudly about their plans.	
nurses and patriarchs	The building was full of patriarchs and nurses talking loudly about their plans.	
currant and pomegranate	The chef decided to try some dishes using currant and pomegranate to add variety to the menu.	
currant and pomegranate	The chef decided to try some dishes using pomegranate and currant to add variety to the menu.	
happily and rudely	The child happily and rudely asked the woman when she was having a baby.	
happily and rudely	The child rudely and happily asked the woman when she was having a baby.	
address and name	The clerk asked for Melissa's address and name in order to complete the form.	
address and name	The clerk asked for Melissa's name and address in order to complete the form.	
puppies and tigers	The coloring book had lots of pictures of puppies and tigers in it.	
puppies and tigers	The coloring book had lots of pictures of tigers and puppies in it.	
shares and stocks	"The couple decided to buy some shares and stocks as an investment for the future. 	N	Was the couple looking for immediate returns?"	
shares and stocks	The couple decided to buy some stocks and shares as an investment for the future. 	
shares and stocks	"The couple decided to buy some stocks and shares as an investment for the future. 	N	Was the couple looking for immediate returns?"	
first and ninety-eighth	"The couple got separated during their Black Friday shopping, and ended up being the first and ninety-eighth people in line."	
first and ninety-eighth	"The couple got separated during their Black Friday shopping, and ended up being the ninety-eighth and first people in line."	
husband and wife	"The couple was too young to be husband and wife, in their parents' opinion.		"	
husband and wife	"The couple was too young to be wife and husband, in their parents' opinion.		"	
marooned and missing	The crew was declared marooned and missing after a sudden storm ended with their ship stuck on a reef.	
marooned and missing	The crew was declared missing and marooned after a sudden storm ended with their ship stuck on a reef.	
determined and forgettable	The deeds of the determined and forgettable adventurer went largely uncelebrated.	
determined and forgettable	The deeds of the forgettable and determined adventurer went largely uncelebrated.	
bacteria and candy	The dentist told Sally that bacteria and candy would rot her teeth.	
bacteria and candy	The dentist told Sally that candy and bacteria would rot her teeth.	
men and women	"The disparity between the wages of men and women in the workforce is a major concern for many.		"	
men and women	"The disparity between the wages of women and men in the workforce is a major concern for many.		"	
discontent and tearfulness	The doctor said that discontent and tearfulness are signs of depression.	
discontent and tearfulness	The doctor said that tearfulness and discontent are signs of depression.	
beautiful and stinky	The doll was beautiful and stinky after Jenny pulled it out of the trash.	
beautiful and stinky	The doll was stinky and beautiful after Jenny pulled it out of the trash.	
currant and pomegranate	The drink flavored with currant and pomegranate was delicious according to Kim.	
currant and pomegranate	The drink flavored with pomegranate and currant was delicious according to Kim.	
backwards and forwards	"The driver had to move backwards and forwards many times to get the large truck into the parking spot properly.		"	
backwards and forwards	"The driver had to move forwards and backwards many times to get the large truck into the parking spot properly.		"	
masculine and undignified	The duchess was interested in the masculine and undignified suitor for a very long time before she met the prince.	
masculine and undignified	The duchess was interested in the undignified and masculine suitor for a very long time before she met the prince.	
demand and supply	The economist became famous for studying the way demand and supply affect the steel industry.	
demand and supply	The economist became famous for studying the way supply and demand affect the steel industry.	
husband and wife	The elderly couple decided to renew their vows as husband and wife for their fiftieth anniversary.	
husband and wife	The elderly couple decided to renew their vows as wife and husband for their fiftieth anniversary.	
beautiful and stinky	The elephants at the zoo were beautiful and stinky so the children loved them.	
beautiful and stinky	The elephants at the zoo were stinky and beautiful so the children loved them.	
bicycles and robots	The engineer specialized in making bicycles and robots when he worked for the company.	
bicycles and robots	The engineer specialized in making robots and bicycles when he worked for the company.	
loss and profit	"The entrepeneur had a tumultuous career, but handled both loss and profit well enough to secure a comfortable retirement."	
loss and profit	"The entrepeneur had a tumultuous career, but handled both profit and loss well enough to secure a comfortable retirement."	
king and queen	The festival held for the coronation of the king and queen was thoroughly enjoyed by all.	
king and queen	The festival held for the coronation of the queen and king was thoroughly enjoyed by all.	
first and ninety-eighth	The finalists in the tennis championship were ranked first and ninety-eighth in the world prior to the tournament.	
first and ninety-eighth	The finalists in the tennis championship were ranked ninety-eighth and first in the world prior to the tournament.	
bitter and purple	The fruit looked delicious but it turned out to be bitter and purple after I took a bite.	
bitter and purple	The fruit looked delicious but it turned out to be purple and bitter after I took a bite.	
match and mix	The furniture store's match and mix sale made it much easier to furnish multiple rooms. 	
match and mix	The furniture store's mix and match sale made it much easier to furnish multiple rooms. 	
beautiful and stinky	The gardener was dismayed to learn that he had planted some flowers that were both beautiful and stinky alongside the rest of his plants.	
beautiful and stinky	The gardener was dismayed to learn that he had planted some flowers that were both stinky and beautiful alongside the rest of his plants.	
peace and war	"The group of friends liked to discuss peace and war in their philosophy club.		"	
peace and war	"The group of friends liked to discuss war and peace in their philosophy club.		"	
chauffeurs and stewardesses	The growth of the travel industry led to many openings for chauffeurs and stewardesses in the area.	
chauffeurs and stewardesses	The growth of the travel industry led to many openings for stewardesses and chauffeurs in the area.	
nurses and patriarchs	The hotel lobby was full of nurses and patriarchs eager for the start of the conference.	
nurses and patriarchs	The hotel lobby was full of patriarchs and nurses eager for the start of the conference.	
backwards and forwards	"The little girl rocked backwards and forwards on the swing at the park.		"	
backwards and forwards	"The little girl rocked forwards and backwards on the swing at the park.		"	
king and queen	The loud trumpets announced the return of the king and queen from abroad.	
king and queen	The loud trumpets announced the return of the queen and king from abroad.	
therapy and vacations	The man managed to raise his spirits with therapy and vacations after going through a tough divorce.	
therapy and vacations	The man managed to raise his spirits with vacations and therapy after going through a tough divorce.	
fork and knife	"The man was embarassed to learn that he had been holding his fork and knife wrong for years.		"	
fork and knife	"The man was embarassed to learn that he had been holding his knife and fork wrong for years.		"	
child and mother	The man went out of his way to help the child and mother who were looking lost at the airport.	
child and mother	The man went out of his way to help the mother and child who were looking lost at the airport.	
coroners and senators	The media hounded various coroners and senators about the case of the murdered politician.	
coroners and senators	The media hounded various senators and coroners about the case of the murdered politician.	
actresses and lumberjacks	The number of actresses and lumberjacks living in this neighborhood never ceases to surprise me.	
actresses and lumberjacks	The number of lumberjacks and actresses living in this neighborhood never ceases to surprise me.	
brothers and sisters	"The oldest son in the large family was often overwhelmed by his brothers and sisters when he was made to babysit.		"	
brothers and sisters	"The oldest son in the large family was often overwhelmed by his sisters and brothers when he was made to babysit.		"	
horses and loons	The painting featured a natural landscape complete with horses and loons roaming freely.	
horses and loons	The painting featured a natural landscape complete with loons and horses roaming freely.	
marooned and missing	The people on the flight were marooned and missing after a crash landing on the island.	
marooned and missing	The people on the flight were missing and marooned after a crash landing on the island.	
litter and newts	The pet store was full of litter and newts when Martha visited on Saturday.	
litter and newts	The pet store was full of newts and litter when Martha visited on Saturday.	
gelatin and lard	The picky toddler refused to eat anything with gelatin and lard in it.	
gelatin and lard	The picky toddler refused to eat anything with lard and gelatin in it.	
marooned and missing	The pirate was marooned and missing for nearly five months.	
marooned and missing	The pirate was missing and marooned for nearly five months.	
lankier and lanky	"The players on the team were lankier and lanky, as though it were a requirement for joining."	
lankier and lanky	"The players on the team were lanky and lankier, as though it were a requirement for joining."	
address and name	"The post office was not sure what to do with the child's letter, as the address and name were both illegible."	
address and name	"The post office was not sure what to do with the child's letter, as the name and address were both illegible."	
chanting and enchanting	The practice of chanting and enchanting was common in the cult Mary joined.	
chanting and enchanting	The practice of enchanting and chanting was common in the cult Mary joined.	
intents and purposes	The president made his intents and purposes for the law very clear in his speech.	
intents and purposes	The president made his purposes and intents for the law very clear in his speech.	
campfires and wildfires	The ranger warned that proper containment was the only barrier between campfires and wildfires in this dry weather.	
campfires and wildfires	The ranger warned that proper containment was the only barrier between wildfires and campfires in this dry weather.	
campfires and wildfires	The rangers seemed to act like campfires and wildfires were the same thing.	
campfires and wildfires	The rangers seemed to act like wildfires and campfires were the same thing.	
chauffeurs and stewardesses	The rich actress had many chauffeurs and stewardesses to wait on her.	
chauffeurs and stewardesses	The rich actress had many stewardesses and chauffeurs to wait on her.	
groundskeeper and superintendent	"The scandal got most of the staff fired, leaving only the groundskeeper and superintendent at the school in the end."	
groundskeeper and superintendent	"The scandal got most of the staff fired, leaving only the superintendent and groundskeeper at the school in the end."	
peace and war	The seemingly endless cycle of peace and war made it difficult for the lower class to establish stable lives.	
peace and war	The seemingly endless cycle of war and peace made it difficult for the lower class to establish stable lives.	
annoying and teal	The snobby neighborhood thought that the annoying and teal house on the corner should be repainted.	
annoying and teal	The snobby neighborhood thought that the teal and annoying house on the corner should be repainted.	
litter and newts	"The store had a variety of litter and newts, which made choosing one very hard."	
litter and newts	"The store had a variety of newts and litter, which made choosing one very hard."	
loss and profit	"The struggling businessman didn't understand loss and profit as well as he should have.		"	
loss and profit	"The struggling businessman didn't understand profit and loss as well as he should have.		"	
determined and forgettable	The student who was both determined and forgettable ended up doing very well in the class.	
determined and forgettable	The student who was both forgettable and determined ended up doing very well in the class.	
vocabulary and vowels	The teacher explained the concepts of vocabulary and vowels after the student asked a question.	
vocabulary and vowels	The teacher explained the concepts of vowels and vocabulary after the student asked a question.	
cherries and llamas	The third grade class saw cherries and llamas at the state fair.	
cherries and llamas	The third grade class saw llamas and cherries at the state fair.	
bishops and seamstresses	The town square was full of bishops and seamstresses at the time of the festival.	
bishops and seamstresses	The town square was full of seamstresses and bishops at the time of the festival.	
east and west	"The train tracks running east and west fell into disrepair as they became obsolete.		"	
east and west	"The train tracks running west and east fell into disrepair as they became obsolete.		"	
demand and supply	"The weaver tried to keep up with demand and supply when refugees and immigrants flooded the small town.		"	
demand and supply	"The weaver tried to keep up with supply and demand when refugees and immigrants flooded the small town.		"	
abashed and sorry	The woman was abashed and sorry when she realized her mistake.	
