Item,Binomial,WordA,WordB,Questions,Answer,SentenceType,Sentence,PrimeType,Prime,audio,Condition,List,RelFreq,GenPref,target_freq,prime_freq
26,money and time,money,time,Was it an easy project?,n,Sentence (alphabetical),+ The amount of money and time required to fix it made it quite the project.,unrelated,"She wrapped the scarf around her neck, bracing herself against the winter chill.","audio/prime_unrelated/She_wrapped_the_scarf_around_her_neck,_bracing_herself_against_the_winter_chill.wav",5,3,-0.3966303172,0.3490212064,not-frequent,unrelated
7,brother and sister,brother,sister,Are Paul's siblings cool?,y,Sentence (alphabetical),+ Paul wants to spend time with his brother and sister because they are cool.,unrelated,"The cat curled up on the windowsill, basking in a patch of warm sunlight.","audio/prime_unrelated/The_cat_curled_up_on_the_windowsill,_basking_in_a_patch_of_warm_sunlight.wav",5,3,0.3382719058,0.6344814705,frequent,unrelated
23,husband and wife,husband,wife,Was Michelle surprised by what he learned?,y,Sentence (alphabetical),+ Michelle was surprised to learn that the husband and wife were getting a divorce.,unrelated,The old house creaked and groaned with every gust of wind.,audio/prime_unrelated/The_old_house_creaked_and_groaned_with_every_gust_of_wind.wav,5,3,0.4745981449,0.5027550125,frequent,unrelated
28,north and south,north,south,Did the family stay in the same place?,n,Sentence (alphabetical),+ The family moved north and south a couple of times.,unrelated,The antique store was filled with treasures from a bygone era.,audio/prime_unrelated/The_antique_store_was_filled_with_treasures_from_a_bygone_era.wav,5,3,0.4390120705,0.610818675,frequent,unrelated
13,error and trial,error,trial,Was Hal still stuck on the math problem?,n,Sentence (nonalphabetical),+ Hal solved the math problem by trial and error because he was lazy.,unrelated,"The aroma of freshly baked bread drifted from the kitchen, inviting everyone inside.","audio/prime_unrelated/The_aroma_of_freshly_baked_bread_drifted_from_the_kitchen,_inviting_everyone_inside.wav",6,3,-0.4995134398482,0.1682363,frequent,unrelated
4,black and white,black,white,Do Dalmations usually come in many different colors?,n,Sentence (nonalphabetical),+ Dalmatians found in colors other than white and black are really quite unusual.,unrelated,"He watched the rain tap against the window, lost in thought.","audio/prime_unrelated/He_watched_the_rain_tap_against_the_window,_lost_in_thought.wav",6,3,0.33220185449999995,0.4175274348,not-frequent,unrelated
1,arms and legs,arms,legs,Did Sandra get into a bike accident?,y,Sentence (nonalphabetical),+ Sandra broke her legs and arms because she got into a bike accident.,unrelated,"The sun dipped below the horizon, painting the sky in shades of orange and pink.","audio/prime_unrelated/The_sun_dipped_below_the_horizon,_painting_the_sky_in_shades_of_orange_and_pink.wav",6,3,0.33699264640000004,0.6051687367,not-frequent,unrelated
2,arts and crafts,arts,crafts,Does Lilly enjoy run when she's stressed?,n,Sentence (alphabetical),+ Lilly enjoys doing arts and crafts to relax when she is stressed.,unrelated,"She poured herself a steaming cup of coffee, savoring the aroma as it filled the kitchen.","audio/prime_unrelated/She_poured_herself_a_steaming_cup_of_coffee,_savoring_the_aroma_as_it_filled_the_kitchen.wav",5,3,0.4952497357,0.6080373752,frequent,unrelated
22,goods and services,goods,services,Were the village people willing to trade?,n,Sentence (nonalphabetical),+ They would not trade services and goods even for a large sum of money.,alphabetical,The store offers a wide variety of goods and services to meet customer needs.,audio/prime_alpha/The_store_offers_a_wide_variety_of_goods_and_services_to_meet_customer_needs.wav,2,3,0.4925981151,0.6638593473,not-frequent,frequent
17,feet and hands,feet,hands,Were the child's limbs fine?,n,Sentence (alphabetical),+ The child's feet and hands slowly grew very numb.,nonalphabetical,"The dancer moved her hands and feet gracefully, commanding the stage.","audio/prime_nonalpha/The_dancer_moved_her_hands_and_feet_gracefully,_commanding_the_stage.wav",3,3,-0.382257009,0.4219806788,not-frequent,frequent
20,gas and oil,gas,oil,Is Sam uneducated about cars?,y,Sentence (nonalphabetical),+ Sam didn't know the difference between oil and gas so she ruined her car.,nonalphabetical,The economy in this region is heavily dependent on oil and gas production.,audio/prime_nonalpha/The_economy_in_this_region_is_heavily_dependent_on_oil_and_gas_production.wav,4,3,-0.4145522406,0.414941423,frequent,frequent
11,death and life,death,life,Is it hard to tell one's circumstances in purgatory?,y,Sentence (alphabetical),+ It is hard to tell the difference between death and life when you are in purgatory.,unrelated,The child’s laughter echoed through the park as he chased after a butterfly.,audio/prime_unrelated/The_child’s_laughter_echoed_through_the_park_as_he_chased_after_a_butterfly.wav,5,3,-0.4380721283,0.1047131005,not-frequent,unrelated
6,boys and girls,boys,girls,Did the teacher separate the students into many groups?,n,Sentence (nonalphabetical),+ The teacher separated the girls and boys into two small groups.,unrelated,"The mountain trail was steep, but the view from the top made every step worth it.","audio/prime_unrelated/The_mountain_trail_was_steep,_but_the_view_from_the_top_made_every_step_worth_it.wav",6,3,0.3825195635000001,0.6258780033,not-frequent,unrelated
9,cause and effect,cause,effect,Did Ryan research about inflation?,y,Sentence (alphabetical),"+ Ryan was uncertain about the cause and effect of inflation, so he did some research.",unrelated,"She carefully wrapped the gift, tying a red ribbon into a perfect bow.","audio/prime_unrelated/She_carefully_wrapped_the_gift,_tying_a_red_ribbon_into_a_perfect_bow.wav",5,3,0.4893920566,0.78038961,frequent,unrelated
29,pepper and salt,pepper,salt,Is the food bland?,y,Sentence (nonalphabetical),+ The food is in need of salt and pepper because it's rather bland.,nonalphabetical,She added just a pinch of salt and pepper to bring out the flavors of the dish.,audio/prime_nonalpha/She_added_just_a_pinch_of_salt_and_pepper_to_bring_out_the_flavors_of_the_dish.wav,4,3,-0.43924954184,0.2688838616,frequent,frequent
18,female and male,female,male,Does the dog breeder have puppies coming?,y,Sentence (nonalphabetical),+ The dog breeder said the male and female puppies were coming today.,unrelated,"She wrote down her goals in a new journal, determined to make this year different.","audio/prime_unrelated/She_wrote_down_her_goals_in_a_new_journal,_determined_to_make_this_year_different.wav",6,3,-0.42635207012,0.349332677,frequent,unrelated
8,brothers and sisters,brothers,sisters,Does Andrew live alone?,n,Sentence (nonalphabetical),"+ Andrew shared with his sisters and brothers, so he was excited to have a roomate.",alphabetical,I always love seeing my brothers and sisters when I go home for the holidays.,audio/prime_alpha/I_always_love_seeing_my_brothers_and_sisters_when_I_go_home_for_the_holidays.wav,2,3,0.4142402514,0.6388390377,not-frequent,frequent
14,fall and rise,fall,rise,Was the narrator sick because of the waves?,y,Sentence (nonalphabetical),+ I've gotten particularly ill due to the rise and fall of the big waves.,unrelated,"She gazed out at the ocean, mesmerized by the endless waves crashing against the shore.","audio/prime_unrelated/She_gazed_out_at_the_ocean,_mesmerized_by_the_endless_waves_crashing_against_the_shore.wav",6,3,-0.47005192108,0.4320348317,frequent,unrelated
16,feelings and thoughts,feelings,thoughts,Does get confused when she's frustrated?,y,Sentence (alphabetical),"+ When Pat gets frustrated, her feelings and thoughts get muddled quite quickly.",unrelated,"He flipped through the album, each photograph bringing back a flood of memories.","audio/prime_unrelated/He_flipped_through_the_album,_each_photograph_bringing_back_a_flood_of_memories.wav",5,3,-0.3486352047,0.418338269,not-frequent,unrelated
10,days and nights,days,nights,Did Finn easily write his novel?,n,Sentence (alphabetical),+ Finn spent many days and nights working on writing his novel.,unrelated,The crowded marketplace buzzed with the sounds of bargaining and laughter.,audio/prime_unrelated/The_crowded_marketplace_buzzed_with_the_sounds_of_bargaining_and_laughter.wav,5,3,0.4144469086,0.6530893812,frequent,unrelated
198,NA,NA,NA,Was the forest quiet?,y,filler,+ She wore a necklace with a tiny silver locket.,filler,The sound of the waterfall filled the quiet forest.,audio/prime_filler/The_sound_of_the_waterfall_filled_the_quiet_forest.wav,NA,0,NA,NA,NA,NA
173,NA,NA,NA,Did she swim through the ocean?,n,filler,+ He waited patiently as the storm passed overhead.,filler,"She walked through the field, admiring the wildflowers.","audio/prime_filler/She_walked_through_the_field,_admiring_the_wildflowers.wav",NA,0,NA,NA,NA,NA
194,NA,NA,NA,Were there many insects in the field?,y,filler,+ She painted the sunset with bold strokes of orange and red.,filler,The field was alive with the sound of buzzing insects.,audio/prime_filler/The_field_was_alive_with_the_sound_of_buzzing_insects.wav,NA,0,NA,NA,NA,NA
178,NA,NA,NA,Was the bakery cozy?,y,filler,+ The city lights reflected on the wet streets after the rain.,filler,The scent of fresh bread filled the cozy little bakery.,audio/prime_filler/The_scent_of_fresh_bread_filled_the_cozy_little_bakery.wav,NA,0,NA,NA,NA,NA
192,NA,NA,NA,Was the bakery busy?,y,filler,+ He tied his shoes and prepared for the long hike ahead.,filler,"The bakery was busy, filled with customers chatting.","audio/prime_filler/The_bakery_was_busy,_filled_with_customers_chatting.wav",NA,0,NA,NA,NA,NA
107,NA,NA,NA,Were the books clean?,n,filler,+ The old library was filled with dust-covered books and secrets.,filler,She watched as the sun dipped below the distant horizon.,audio/prime_filler/She_watched_as_the_sun_dipped_below_the_distant_horizon.wav,NA,0,NA,NA,NA,NA
112,NA,NA,NA,Was his jacket faded?,y,filler,+ He wore a faded blue jacket that had seen better days.,filler,"A gentle breeze rustled the leaves, filling the silence.","audio/prime_filler/A_gentle_breeze_rustled_the_leaves,_filling_the_silence.wav",NA,0,NA,NA,NA,NA
135,NA,NA,NA,Was the street loud?,n,filler,"+ The street was silent, save for the occasional car passing.",filler,She tucked a flower behind her ear and smiled softly.,audio/prime_filler/She_tucked_a_flower_behind_her_ear_and_smiled_softly.wav,NA,0,NA,NA,NA,NA
189,NA,NA,NA,Was it a busy night?,n,filler,"+ The small village was quiet, nestled in the valley.",filler,"The night was calm, with only the sound of crickets.","audio/prime_filler/The_night_was_calm,_with_only_the_sound_of_crickets.wav",NA,0,NA,NA,NA,NA
123,NA,NA,NA,Was the sand dry?,n,filler,+ She left footprints in the wet sand that soon disappeared.,filler,The soft glow of the candle illuminated her face.,audio/prime_filler/The_soft_glow_of_the_candle_illuminated_her_face.wav,NA,0,NA,NA,NA,NA
174,NA,NA,NA,Were the flowers blooming?,y,filler,+ The old photograph reminded her of distant memories.,filler,The air was filled with the sweet scent of blooming flowers.,audio/prime_filler/The_air_was_filled_with_the_sweet_scent_of_blooming_flowers.wav,NA,0,NA,NA,NA,NA
185,NA,NA,NA,Was the sky bright?,n,filler,+ The trail led them deep into the heart of the forest.,filler,The lighthouse stood tall against the darkening sky.,audio/prime_filler/The_lighthouse_stood_tall_against_the_darkening_sky.wav,NA,0,NA,NA,NA,NA
160,NA,NA,NA,Was the evening breeze gentle?,y,filler,+ She wore a bright yellow dress that caught everyone's eye.,filler,The leaves rustled softly in the gentle evening breeze.,audio/prime_filler/The_leaves_rustled_softly_in_the_gentle_evening_breeze.wav,NA,0,NA,NA,NA,NA
110,NA,NA,NA,Was there sand between her toes?,y,filler,+ She felt the sand between her toes as she walked along the shore.,filler,The fresh scent of pine filled the air as she hiked uphill.,audio/prime_filler/The_fresh_scent_of_pine_filled_the_air_as_she_hiked_uphill.wav,NA,0,NA,NA,NA,NA
103,NA,NA,NA,Was there heavy rain?,n,filler,"+ A soft drizzle began to fall, dampening the crowded streets.",filler,"The forest was dense and mysterious, filled with ancient trees.","audio/prime_filler/The_forest_was_dense_and_mysterious,_filled_with_ancient_trees.wav",NA,0,NA,NA,NA,NA
129,NA,NA,NA,Was it sunny outside?,n,filler,+ She watched the raindrops slide down the windowpane.,filler,The garden was alive with the buzzing of bees and birds.,audio/prime_filler/The_garden_was_alive_with_the_buzzing_of_bees_and_birds.wav,NA,0,NA,NA,NA,NA
191,NA,NA,NA,Did she watch the airplanes?,n,filler,+ The air was thick with the scent of pine and fresh rain.,filler,She watched the kite soar high above the field.,audio/prime_filler/She_watched_the_kite_soar_high_above_the_field.wav,NA,0,NA,NA,NA,NA
161,NA,NA,NA,Was she reckless?,n,filler,"+ The cat stretched lazily, basking in a patch of sunlight.",filler,She carefully arranged flowers in a small glass vase.,audio/prime_filler/She_carefully_arranged_flowers_in_a_small_glass_vase.wav,NA,0,NA,NA,NA,NA
138,NA,NA,NA,Was it bright in the room?,y,filler,"+ The fire crackled, filling the room with warmth and light.",filler,She watched as the fog rolled over the hills silently.,audio/prime_filler/She_watched_as_the_fog_rolled_over_the_hills_silently.wav,NA,0,NA,NA,NA,NA
133,NA,NA,NA,Were they still there?,n,filler,+ The echo of laughter lingered long after they had left.,filler,A faint scent of lavender filled the cozy little room.,audio/prime_filler/A_faint_scent_of_lavender_filled_the_cozy_little_room.wav,NA,0,NA,NA,NA,NA
147,NA,NA,NA,Did he jot down the notes on his computer?,n,filler,"+ He jotted down notes in his notebook, deep in thought.",filler,The old house was filled with memories of past years.,audio/prime_filler/The_old_house_was_filled_with_memories_of_past_years.wav,NA,0,NA,NA,NA,NA
121,NA,NA,NA,Was he stressed out?,n,filler,+ He found comfort in the familiar hum of the city at night.,filler,She made a wish on the first star she saw that night.,audio/prime_filler/She_made_a_wish_on_the_first_star_she_saw_that_night.wav,NA,0,NA,NA,NA,NA
148,NA,NA,NA,Was the bakery small?,y,filler,+ The small bakery was filled with the scent of cinnamon rolls.,filler,She watched the fireflies dance in the warm evening air.,audio/prime_filler/She_watched_the_fireflies_dance_in_the_warm_evening_air.wav,NA,0,NA,NA,NA,NA
146,NA,NA,NA,Did the city lights glow?,y,filler,"+ The city lights glowed, creating a warm and cozy atmosphere.",filler,He admired the intricate patterns on the vintage clock.,audio/prime_filler/He_admired_the_intricate_patterns_on_the_vintage_clock.wav,NA,0,NA,NA,NA,NA
176,NA,NA,NA,Was it night time?,y,filler,+ The sun was just beginning to peek over the horizon.,filler,The moon reflected on the calm surface of the lake.,audio/prime_filler/The_moon_reflected_on_the_calm_surface_of_the_lake.wav,NA,0,NA,NA,NA,NA
195,NA,NA,NA,Did she place a rocker in her book?,n,filler,"+ The bookstore was cozy, filled with warm lights and books.",filler,She placed a feather in her book as a keepsake.,audio/prime_filler/She_placed_a_feather_in_her_book_as_a_keepsake.wav,NA,0,NA,NA,NA,NA
126,NA,NA,NA,Did she keep a journal?,y,filler,+ She kept a journal filled with her thoughts and dreams.,filler,"He sat on the rooftop, admiring the city lights below.","audio/prime_filler/He_sat_on_the_rooftop,_admiring_the_city_lights_below.wav",NA,0,NA,NA,NA,NA
141,NA,NA,NA,Did the new watch chime?,n,filler,"+ The old clock chimed, signaling the hour with a soft ring.",filler,She wore a vibrant scarf that stood out in the crowd.,audio/prime_filler/She_wore_a_vibrant_scarf_that_stood_out_in_the_crowd.wav,NA,0,NA,NA,NA,NA
155,NA,NA,NA,Was the sky dark?,n,filler,"+ He looked up, noticing the clouds beginning to part.",filler,The clouds drifted lazily across the bright blue sky.,audio/prime_filler/The_clouds_drifted_lazily_across_the_bright_blue_sky.wav,NA,0,NA,NA,NA,NA
139,NA,NA,NA,Was the seashell strong?,n,filler,"+ She held the fragile seashell, admiring its unique pattern.",filler,"The campfire crackled, casting shadows on their faces.","audio/prime_filler/The_campfire_crackled,_casting_shadows_on_their_faces.wav",NA,0,NA,NA,NA,NA
